	ID	QID	QID_	Sentence	Codes	Themes	FirstCC	SecondCC	ThirdCC
545	R8:180		Q:35	Developing predictive models: meta-data may allow ML to predict promising directions and improve resource allocation in future projects.	{'data collection for strategising research through machine learning', 'allocation resources'}	assets	{'data collection for strategising research through machine learning', 'allocation resources'}	{'resource allocation practices', 'data collection for ML-based strategy'}	{'resource management and constraints', 'data collection for strategy and forecasting'}
546	R8:181		Q:35	Enhancing transparency and reproducibility: traceable record, reducing publication bias and improving scientific integrity.	{'publication bias reduction', 'scientific integrity', 'reproducibility', 'transparency'}	opportunity	{'publication bias reduction', 'scientific integrity', 'reproducibility', 'transparency'}	{'reduction of publication bias', 'scientific integrity', 'reproducibility', 'transparency'}	{'traceability benefits', 'governance and policy design', 'communication as transparency reporting'}
547	R8:182		Q:35	However, a critical limitation is that most projects operate under fixed resources, and detailed recording and sharing of incremental steps introduces significant administrative overhead. This can divert time and effort away from core research activities, making it essential to balance the benefits of meta-research with practical resource constraints.	{'fixed resource constraints', 'administrative overhead', 'research time diversion'}	critics	{'fixed resource constraints', 'administrative overhead', 'research time diversion'}	{'administrative overhead', 'diversion of research time', 'fixed resource constraints'}	{'fixed resource constraints', 'administrative overhead and research time diversion', 'administrative overhead'}
547	R8:182		Q:35	However, a critical limitation is that most projects operate under fixed resources, and detailed recording and sharing of incremental steps introduces significant administrative overhead. This can divert time and effort away from core research activities, making it essential to balance the benefits of meta-research with practical resource constraints.	{'fixed resource constraints', 'administrative overhead', 'research time diversion'}	disadvantages	{'fixed resource constraints', 'administrative overhead', 'research time diversion'}	{'administrative overhead', 'diversion of research time', 'fixed resource constraints'}	{'fixed resource constraints', 'administrative overhead and research time diversion', 'administrative overhead'}
548	R9:2		Q:1	I worked as a post-doctoral researcher for Cogitor at the University of the West of England (UWE), UK. Now, I also am an active collaborator with the project.	{'active collaborator', 'post-doctoral researcher', 'researcher'}	current situation	{'active collaborator', 'post-doctoral researcher', 'researcher'}	{'active collaboration role', 'researcher role', 'post-doctoral researcher role'}	{'researcher role', 'research roles and responsibilities', 'collaboration roles'}
549	R9:9		Q:3b	As mentioned in 2. the main KPI was the publication of original research on high IF journals.	{'scientific literature as measure of innovation', 'ideas are measure of innovation'}	current situation	{'scientific literature as measure of innovation', 'ideas are measure of innovation'}	{'ideas as measure of innovation', 'literature as innovation measure'}	{'innovation evaluation metrics', 'ideas as innovation indicator'}
550	R9:11		Q:3c	No visualisation tools were required. 	{'project management', 'no exposure to visualisation tools for measuring innovation progress'}	current situation	{'project management', 'no exposure to visualisation tools for measuring innovation progress'}	{'lack of exposure to visualization tools', 'project management'}	{'project management practices', 'exposure to visualization and PM tools'}
551	R9:13		Q:4	In my opinion, innovation is turning new ideas and methods into practical solutions.	{'innovation aims to practical solutions'}	perception	{'innovation aims to practical solutions'}	{'innovation aimed at practical solutions'}	{'innovation purpose and orientation'}
552	R9:15		Q:5	Following my answer for 4, I believe that any solution that was developed from a new idea is a step. It doesn’t need to be anything revolutionary, for example, developing a methodology to conduct an experiment could be one. 	{'innovation step can be simple (e.g. experimental methodology)'}	perception	{'innovation step can be simple (e.g. experimental methodology)'}	{'simple innovation steps'}	{'innovation steps and granularity'}
553	R9:18		Q:6	We need a workspace and funding for the experiments.	{'workspace and funding', 'in-kind resources'}	perception	{'workspace and funding', 'in-kind resources'}	{'workspace and funding resources', 'in-kind resources'}	{'resource management and constraints', 'in-kind resources and infrastructure'}
554	R9:20		Q:7	Yes, many times in a paper we have many small innovation steps that are not fully traced.	{'innovation steps should trace information not declared in papers'}	insight	{'innovation steps should trace information not declared in papers'}	{'tracing non-published information'}	{'traceability benefits'}
554	R9:20		Q:7	Yes, many times in a paper we have many small innovation steps that are not fully traced.	{'innovation steps should trace information not declared in papers'}	perception	{'innovation steps should trace information not declared in papers'}	{'tracing non-published information'}	{'traceability benefits'}
555	R9:24		Q:8a	In practical terms this would show the amount of work that was done by me. Personally, small achievements create a sense of accomplishment. Professionally, I would get recognition of peers.	{'innovation steps should show prior-effort', 'design guidelines'}	perception	{'innovation steps should show prior-effort', 'design guidelines'}	{'innovation steps document prior effort', 'design guidelines'}	{'tool and interface design guidelines', 'prior effort documentation'}
